,gender,SeniorCitizen,tenure,PhoneService,MultipleLines,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Family,OnlineServices,StreamingServices,Churn
60,0,0,3,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,4,1,0,1,No
61,1,0,4,1,Yes,Fiber optic,No,No,Month-to-month,1,Bank transfer (automatic),4,4,0,1,1,No
62,1,0,4,0,No phone service,DSL,Yes,No,Two year,0,Bank transfer (automatic),2,3,1,1,0,No
63,0,0,2,1,No,DSL,Yes,Yes,One year,1,Credit card (automatic),2,2,1,0,0,No
64,0,0,1,1,Yes,Fiber optic,No,No,Month-to-month,0,Electronic check,4,2,0,0,1,Yes
65,0,0,1,1,No,DSL,No,Yes,Month-to-month,1,Electronic check,3,1,0,1,1,No
66,1,0,3,1,Yes,Fiber optic,No,No,One year,1,Electronic check,3,3,1,1,0,No
67,0,0,3,1,No,DSL,Yes,Yes,Two year,0,Mailed check,3,3,0,1,1,No
68,0,0,3,1,No,No,No internet service,No internet service,Two year,0,Bank transfer (automatic),1,2,1,1,1,No
69,1,0,2,1,No,Fiber optic,Yes,No,Month-to-month,1,Mailed check,3,2,0,1,0,No
70,1,0,1,1,No,DSL,No,Yes,Month-to-month,0,Mailed check,2,1,0,0,0,No
71,0,0,3,1,No,No,No internet service,No internet service,One year,1,Electronic check,1,2,1,1,1,No
72,1,1,4,1,Yes,Fiber optic,Yes,Yes,Two year,1,Bank transfer (automatic),4,4,1,1,1,No
73,1,0,4,1,Yes,No,No internet service,No internet service,Two year,1,Bank transfer (automatic),1,3,1,1,1,No
74,0,0,1,1,No,DSL,No,Yes,Month-to-month,1,Bank transfer (automatic),2,1,1,1,1,No
75,0,1,4,1,Yes,Fiber optic,Yes,No,One year,0,Electronic check,4,4,0,1,1,No
76,0,0,3,1,No,DSL,No,No,One year,0,Credit card (automatic),2,3,0,0,1,No
77,0,0,1,1,No,DSL,No,No,Month-to-month,0,Mailed check,2,2,1,1,0,No
78,1,1,3,1,No,DSL,No,No,Month-to-month,1,Electronic check,3,3,0,1,1,No
79,0,0,3,1,Yes,No,No internet service,No internet service,One year,1,Credit card (automatic),1,2,1,1,1,No
80,0,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,3,1,1,0,1,Yes
81,0,0,2,0,No phone service,DSL,No,No,Month-to-month,0,Electronic check,2,2,1,1,1,No
82,0,0,1,1,No,Fiber optic,Yes,No,Month-to-month,1,Bank transfer (automatic),3,2,1,0,0,Yes
83,0,0,3,1,No,Fiber optic,Yes,Yes,Month-to-month,1,Bank transfer (automatic),4,4,0,1,1,No
84,0,0,3,1,No,No,No internet service,No internet service,Two year,1,Bank transfer (automatic),1,2,1,1,1,No
85,1,0,1,1,Yes,Fiber optic,No,No,Month-to-month,1,Credit card (automatic),4,2,0,1,1,No
86,0,0,3,1,No,DSL,No,No,One year,1,Bank transfer (automatic),2,3,1,1,1,No
87,0,0,3,1,No,No,No internet service,No internet service,Two year,0,Bank transfer (automatic),1,2,1,1,1,No
88,0,0,3,1,No,No,No internet service,No internet service,Two year,1,Mailed check,1,2,1,1,1,No
89,1,0,2,0,No phone service,DSL,No,No,Month-to-month,0,Mailed check,1,2,1,0,1,No
90,1,0,3,1,No,Fiber optic,Yes,No,Month-to-month,0,Bank transfer (automatic),3,3,1,1,0,No
91,1,1,1,1,No,Fiber optic,No,Yes,Month-to-month,0,Electronic check,3,1,0,0,0,No
92,1,0,4,1,Yes,DSL,Yes,Yes,Two year,1,Mailed check,3,4,1,1,1,No
93,0,0,4,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Credit card (automatic),4,4,0,1,1,No
94,1,0,4,1,Yes,Fiber optic,Yes,No,Two year,1,Bank transfer (automatic),4,4,0,1,1,No
95,0,0,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,3,2,0,1,0,Yes
96,1,0,4,1,Yes,DSL,No,Yes,One year,1,Credit card (automatic),2,4,1,1,0,No
97,1,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,0,1,1,Yes
98,1,0,3,1,No,No,No internet service,No internet service,Two year,0,Bank transfer (automatic),1,2,0,1,1,No
99,0,1,2,1,No,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,3,1,1,1,Yes
100,1,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,0,1,1,No
101,0,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Electronic check,1,1,1,1,1,No
102,1,0,3,1,Yes,Fiber optic,Yes,Yes,One year,0,Bank transfer (automatic),4,3,0,0,1,No
103,0,1,4,0,No phone service,DSL,Yes,No,One year,0,Bank transfer (automatic),2,3,1,1,1,No
104,1,0,4,1,Yes,Fiber optic,Yes,Yes,Two year,1,Bank transfer (automatic),4,4,1,1,1,Yes
105,1,0,1,0,No phone service,DSL,No,No,Month-to-month,0,Mailed check,1,1,0,0,0,No
106,0,0,4,1,Yes,Fiber optic,No,No,One year,1,Electronic check,4,4,1,1,1,No
107,0,0,3,0,No phone service,DSL,No,No,One year,0,Mailed check,1,2,0,1,0,No
108,1,0,3,1,Yes,Fiber optic,No,No,One year,0,Mailed check,4,4,0,0,1,No
109,1,0,4,1,No,No,No internet service,No internet service,Two year,0,Credit card (automatic),1,2,1,1,1,No
110,1,0,3,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,4,4,1,1,1,Yes
111,0,0,3,1,No,DSL,Yes,Yes,One year,0,Credit card (automatic),2,3,0,1,0,No
112,0,0,3,1,No,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,4,0,1,1,No
113,0,1,3,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,3,3,1,0,0,Yes
114,0,0,4,0,No phone service,DSL,No,Yes,Two year,1,Electronic check,2,3,1,1,1,No
115,1,0,1,1,No,Fiber optic,No,No,Month-to-month,0,Electronic check,3,1,1,1,1,No
116,0,0,3,0,No phone service,DSL,No,No,Two year,0,Bank transfer (automatic),1,2,0,1,0,No
117,0,0,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,4,2,1,1,1,Yes
118,0,0,3,1,No,No,No internet service,No internet service,Two year,0,Mailed check,1,2,0,1,1,No
119,1,0,2,1,Yes,Fiber optic,No,Yes,Month-to-month,1,Credit card (automatic),3,3,1,1,0,No
120,0,0,4,1,Yes,Fiber optic,Yes,No,One year,1,Credit card (automatic),4,4,1,0,1,No
121,0,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,0,1,1,No
122,1,0,1,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,3,1,0,0,0,Yes
123,0,0,1,1,No,DSL,No,No,Month-to-month,0,Mailed check,2,1,1,1,0,No
124,0,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,1,1,1,No
125,1,0,3,1,No,Fiber optic,No,Yes,Two year,1,Electronic check,3,3,0,1,1,No
126,0,1,2,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Electronic check,3,3,0,0,0,Yes
127,1,0,4,1,Yes,No,No internet service,No internet service,Two year,1,Bank transfer (automatic),1,3,1,1,1,No
128,1,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,0,1,1,No
129,1,1,4,0,No phone service,DSL,No,No,One year,1,Electronic check,2,4,0,1,1,No
130,0,0,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,3,2,0,0,1,No
131,0,0,2,0,No phone service,DSL,Yes,No,Month-to-month,1,Credit card (automatic),2,3,1,1,1,Yes
132,1,0,4,1,No,DSL,No,Yes,Two year,0,Bank transfer (automatic),2,3,0,0,0,No
133,1,0,1,0,No phone service,DSL,No,No,Month-to-month,1,Electronic check,1,1,0,0,1,Yes
134,1,0,1,1,No,DSL,No,No,Month-to-month,0,Electronic check,2,1,0,0,0,Yes
135,0,0,3,1,Yes,No,No internet service,No internet service,Two year,1,Credit card (automatic),1,2,0,1,1,No
136,0,0,2,1,No,Fiber optic,No,No,Month-to-month,1,Bank transfer (automatic),3,3,0,1,0,No
137,0,0,4,1,No,No,No internet service,No internet service,Two year,0,Mailed check,1,2,1,1,1,No
138,1,0,4,1,No,No,No internet service,No internet service,Two year,1,Mailed check,1,2,1,1,1,No
139,0,1,1,1,No,Fiber optic,No,No,Month-to-month,1,Mailed check,3,1,1,0,0,Yes
140,0,1,4,1,Yes,DSL,Yes,Yes,Two year,1,Credit card (automatic),3,4,1,1,1,No
141,0,0,1,1,Yes,DSL,No,Yes,Month-to-month,0,Electronic check,3,2,0,1,1,Yes
142,0,0,4,1,Yes,Fiber optic,No,No,Two year,1,Bank transfer (automatic),4,4,1,1,1,No
143,1,0,4,1,Yes,Fiber optic,No,No,One year,1,Credit card (automatic),3,4,0,1,0,No
144,1,1,4,1,Yes,No,No internet service,No internet service,Two year,0,Bank transfer (automatic),1,3,1,1,1,No
145,0,0,4,1,Yes,Fiber optic,No,Yes,Two year,1,Credit card (automatic),4,4,1,1,1,No
146,1,0,1,1,No,No,No internet service,No internet service,One year,0,Mailed check,1,1,0,1,1,No
147,1,0,1,1,No,DSL,No,No,Month-to-month,1,Electronic check,2,1,0,0,0,Yes
148,1,0,3,1,No,DSL,Yes,No,One year,0,Credit card (automatic),2,3,1,1,1,No
149,1,0,2,1,No,DSL,Yes,Yes,Month-to-month,1,Mailed check,2,2,1,1,1,No
150,0,0,1,1,No,DSL,No,Yes,Month-to-month,1,Electronic check,2,2,1,0,1,No
151,1,0,1,1,Yes,Fiber optic,No,No,Month-to-month,0,Mailed check,4,2,0,0,1,Yes
152,0,0,4,1,Yes,Fiber optic,Yes,No,One year,1,Credit card (automatic),4,4,1,1,1,No
153,1,0,4,1,No,DSL,Yes,Yes,Two year,0,Electronic check,3,4,1,1,1,No
154,0,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,1,1,1,No
155,0,0,2,1,No,Fiber optic,No,No,Month-to-month,1,Bank transfer (automatic),3,2,1,0,1,No
156,0,0,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Bank transfer (automatic),3,3,0,0,1,No
157,1,0,2,1,No,No,No internet service,No internet service,One year,0,Mailed check,1,2,1,1,1,No
158,1,0,2,1,No,DSL,Yes,No,Two year,0,Mailed check,2,2,1,1,1,No
159,1,0,2,1,Yes,No,No internet service,No internet service,Two year,0,Bank transfer (automatic),1,1,0,1,1,No
160,0,0,2,1,No,DSL,No,No,Month-to-month,1,Electronic check,2,2,1,1,0,No
161,0,0,2,1,Yes,Fiber optic,No,No,Month-to-month,0,Electronic check,3,3,1,1,0,Yes
162,0,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,2,1,0,0,0,No
163,1,0,3,1,Yes,DSL,Yes,Yes,Two year,1,Bank transfer (automatic),3,4,0,1,1,No
164,0,0,2,1,No,No,No internet service,No internet service,One year,0,Mailed check,1,1,1,1,1,No
165,1,0,4,1,No,No,No internet service,No internet service,Two year,0,Mailed check,1,2,1,1,1,No
166,0,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Bank transfer (automatic),3,1,0,0,0,Yes
167,1,0,4,1,Yes,DSL,Yes,Yes,Two year,1,Bank transfer (automatic),3,4,1,1,1,No
168,1,1,4,0,No phone service,DSL,Yes,No,Month-to-month,1,Electronic check,2,3,1,1,1,Yes
169,0,0,2,1,No,No,No internet service,No internet service,Month-to-month,0,Electronic check,1,1,1,1,1,No
170,1,0,3,1,No,Fiber optic,Yes,Yes,One year,1,Bank transfer (automatic),3,3,1,1,0,No
171,0,0,1,1,Yes,Fiber optic,Yes,Yes,Month-to-month,1,Electronic check,4,1,1,0,1,Yes
172,1,0,2,1,No,DSL,Yes,Yes,Two year,0,Mailed check,3,2,1,1,1,No
173,0,0,3,1,No,Fiber optic,Yes,No,One year,1,Bank transfer (automatic),4,4,1,0,1,Yes
174,0,0,3,1,No,No,No internet service,No internet service,One year,0,Bank transfer (automatic),1,2,0,1,1,No
175,0,0,3,1,Yes,No,No internet service,No internet service,Month-to-month,0,Electronic check,1,2,1,1,1,No
176,0,1,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Mailed check,3,2,0,0,0,Yes
177,0,1,1,1,No,Fiber optic,No,No,Month-to-month,0,Bank transfer (automatic),3,2,0,1,0,Yes
178,0,0,2,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Bank transfer (automatic),4,3,1,1,1,No
179,1,0,4,1,No,No,No internet service,No internet service,One year,1,Credit card (automatic),1,2,1,1,1,No
180,0,0,1,0,No phone service,DSL,No,No,Month-to-month,0,Bank transfer (automatic),1,1,0,1,0,Yes
181,0,0,1,1,No,DSL,No,No,Month-to-month,0,Mailed check,2,1,0,0,0,No
182,1,0,1,1,Yes,Fiber optic,No,No,Month-to-month,0,Bank transfer (automatic),3,2,0,0,1,Yes
183,1,0,3,1,No,DSL,Yes,No,One year,0,Credit card (automatic),3,3,1,1,1,No
184,0,0,2,1,No,Fiber optic,Yes,No,Month-to-month,1,Electronic check,3,2,0,1,0,Yes
185,0,0,1,0,No phone service,DSL,No,No,Month-to-month,1,Electronic check,1,1,1,0,0,Yes
186,1,0,2,1,No,DSL,No,No,Month-to-month,1,Mailed check,2,2,0,1,0,No
187,1,0,1,0,No phone service,DSL,No,Yes,Month-to-month,0,Electronic check,1,1,0,0,0,No
188,0,0,2,1,No,No,No internet service,No internet service,One year,0,Electronic check,1,1,0,1,1,No
189,0,0,3,1,Yes,DSL,No,No,Month-to-month,0,Credit card (automatic),2,3,1,1,0,No
190,1,0,3,1,Yes,DSL,No,Yes,One year,1,Credit card (automatic),3,3,1,1,1,No
191,1,0,1,1,No,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,2,1,1,1,Yes
192,0,0,4,1,No,No,No internet service,No internet service,Two year,0,Bank transfer (automatic),1,2,1,1,1,No
193,0,0,4,1,Yes,Fiber optic,Yes,No,Two year,0,Credit card (automatic),4,4,1,1,1,No
194,1,0,4,1,No,No,No internet service,No internet service,Two year,0,Credit card (automatic),1,2,1,1,1,No
195,0,0,2,1,No,Fiber optic,No,Yes,Month-to-month,1,Electronic check,4,3,1,1,1,No
196,1,0,2,1,Yes,No,No internet service,No internet service,Two year,1,Bank transfer (automatic),1,2,1,1,1,No
197,1,0,4,1,Yes,Fiber optic,Yes,Yes,Month-to-month,1,Electronic check,4,4,0,1,1,No
198,1,0,4,1,Yes,Fiber optic,Yes,Yes,Two year,1,Bank transfer (automatic),4,4,1,1,1,No
199,1,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,1,1,1,No
200,0,0,2,1,No,Fiber optic,No,Yes,One year,1,Credit card (automatic),4,3,1,1,1,No
201,0,0,2,1,No,Fiber optic,No,Yes,Month-to-month,1,Credit card (automatic),3,2,0,1,0,No
202,1,0,4,1,Yes,Fiber optic,Yes,No,Two year,0,Electronic check,4,4,1,1,1,No
203,1,0,2,1,No,Fiber optic,No,No,Month-to-month,1,Credit card (automatic),3,2,1,0,1,No
204,1,0,3,1,No,Fiber optic,No,No,Month-to-month,0,Credit card (automatic),2,3,0,0,0,No
205,0,0,3,1,No,Fiber optic,No,Yes,One year,1,Bank transfer (automatic),3,3,0,1,0,No
206,1,0,4,0,No phone service,DSL,Yes,Yes,Two year,1,Credit card (automatic),2,4,1,1,1,No
207,1,0,1,1,No,Fiber optic,No,No,Month-to-month,0,Electronic check,3,1,0,0,1,Yes
208,0,0,2,1,No,Fiber optic,Yes,Yes,Month-to-month,1,Electronic check,4,3,0,1,1,Yes
209,1,0,4,1,No,Fiber optic,Yes,Yes,One year,1,Credit card (automatic),4,4,1,1,1,No
210,1,0,1,1,No,DSL,No,No,Month-to-month,1,Credit card (automatic),2,1,0,0,0,Yes
211,0,0,1,0,No phone service,DSL,No,No,Month-to-month,0,Electronic check,1,1,0,0,0,No
212,1,0,4,1,No,No,No internet service,No internet service,Two year,0,Mailed check,1,2,1,1,1,No
213,0,0,2,1,No,No,No internet service,No internet service,One year,0,Electronic check,1,2,1,1,1,No
214,1,1,2,1,Yes,Fiber optic,No,No,Month-to-month,0,Electronic check,3,3,1,0,1,No
215,0,0,4,0,No phone service,DSL,Yes,No,Month-to-month,1,Bank transfer (automatic),2,3,1,1,1,No
216,1,0,4,0,No phone service,DSL,Yes,Yes,Two year,0,Credit card (automatic),2,3,1,1,0,No
217,1,0,4,0,No phone service,DSL,Yes,Yes,Two year,1,Bank transfer (automatic),2,3,1,1,1,No
218,1,0,4,1,Yes,DSL,Yes,Yes,Two year,1,Bank transfer (automatic),3,4,1,1,1,No
219,0,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Bank transfer (automatic),3,2,0,0,1,No
220,0,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,2,1,0,0,0,Yes
221,0,0,4,1,Yes,No,No internet service,No internet service,Two year,0,Bank transfer (automatic),1,3,1,1,1,No
222,1,0,1,1,No,No,No internet service,No internet service,One year,1,Electronic check,1,1,1,1,1,No
223,1,0,1,1,No,DSL,No,Yes,Month-to-month,0,Mailed check,2,1,1,0,0,Yes
224,0,0,2,1,No,No,No internet service,No internet service,One year,1,Bank transfer (automatic),1,1,0,1,1,No
225,1,0,2,0,No phone service,DSL,No,No,One year,1,Mailed check,2,2,0,1,1,No
226,0,0,3,1,No,DSL,Yes,Yes,One year,1,Mailed check,3,3,1,1,1,No
227,0,0,1,1,No,DSL,No,No,Month-to-month,0,Mailed check,2,1,1,0,1,Yes
228,1,0,3,1,Yes,Fiber optic,No,Yes,Month-to-month,1,Credit card (automatic),4,3,0,0,1,No
229,0,0,3,1,Yes,DSL,No,Yes,Two year,1,Credit card (automatic),3,4,1,1,1,No
230,1,0,3,1,Yes,Fiber optic,No,Yes,Two year,1,Credit card (automatic),4,4,0,1,1,No
231,1,0,3,1,No,Fiber optic,No,Yes,Month-to-month,1,Credit card (automatic),4,4,0,1,1,No
232,1,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Mailed check,3,1,0,1,1,Yes
233,0,0,4,1,No,No,No internet service,No internet service,Two year,0,Credit card (automatic),1,3,0,1,1,No
234,0,0,2,1,Yes,No,No internet service,No internet service,Month-to-month,0,Electronic check,1,2,0,1,1,No
235,1,0,1,1,Yes,DSL,No,No,Month-to-month,1,Mailed check,2,1,0,1,0,Yes
236,0,0,2,0,No phone service,DSL,No,Yes,Two year,1,Mailed check,1,1,0,0,0,No
237,1,0,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,3,2,1,0,0,No
238,0,1,2,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,4,2,0,1,1,Yes
239,1,0,2,1,No,No,No internet service,No internet service,Two year,0,Mailed check,1,1,0,1,1,No
240,0,0,4,1,Yes,DSL,Yes,Yes,Two year,0,Bank transfer (automatic),3,4,0,1,1,No
241,1,0,4,1,Yes,Fiber optic,Yes,Yes,Two year,0,Bank transfer (automatic),4,4,0,1,1,No
242,0,0,3,1,No,DSL,No,Yes,One year,1,Credit card (automatic),3,3,1,1,1,No
243,0,1,4,1,No,Fiber optic,Yes,No,Month-to-month,0,Electronic check,4,4,1,1,1,No
244,0,1,2,1,No,DSL,Yes,No,Month-to-month,1,Electronic check,2,2,0,1,0,No
245,1,1,1,1,No,Fiber optic,No,No,Month-to-month,0,Electronic check,3,1,0,1,0,No
246,1,0,3,1,Yes,DSL,Yes,No,One year,0,Mailed check,2,3,0,0,1,No
247,1,1,2,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,3,2,0,1,0,Yes
248,1,0,1,1,No,DSL,No,No,Month-to-month,1,Mailed check,2,1,0,1,0,Yes
249,1,0,3,1,Yes,Fiber optic,Yes,No,One year,1,Electronic check,4,4,0,1,1,No
250,0,0,3,1,No,Fiber optic,Yes,No,One year,1,Electronic check,4,4,1,1,1,No
251,0,0,1,1,No,Fiber optic,No,No,Month-to-month,0,Electronic check,3,1,1,0,0,Yes
252,1,1,1,0,No phone service,DSL,No,No,Month-to-month,0,Electronic check,2,1,1,1,1,Yes
253,1,0,3,1,Yes,DSL,Yes,Yes,One year,0,Credit card (automatic),3,3,1,1,1,No
254,1,0,2,1,No,No,No internet service,No internet service,Month-to-month,1,Mailed check,1,1,0,1,1,No
255,0,0,4,0,No phone service,DSL,Yes,Yes,Two year,1,Electronic check,2,4,1,1,1,No
256,0,0,4,1,Yes,Fiber optic,Yes,Yes,Two year,0,Credit card (automatic),4,4,1,1,1,No
257,1,0,3,1,Yes,Fiber optic,Yes,Yes,One year,0,Credit card (automatic),4,4,0,1,1,No
258,0,0,1,1,No,DSL,No,No,Month-to-month,1,Credit card (automatic),2,1,1,0,0,Yes
259,0,1,2,0,No phone service,DSL,Yes,No,Month-to-month,1,Electronic check,2,2,1,1,1,No
260,1,1,1,0,No phone service,DSL,Yes,No,Month-to-month,1,Electronic check,2,1,0,0,1,Yes
261,1,1,2,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,2,0,1,1,Yes
262,1,1,4,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,3,4,1,1,1,No
263,0,0,3,0,No phone service,DSL,No,Yes,Two year,1,Bank transfer (automatic),2,3,0,1,1,No
